text,label
gue merasa gagal,0
gue sangat merindukanmu setiap hari,2
gue sangat marah karena dikhianati,3
diriku sangat takut,4
aku sangat bersemangat berkarya,1
I cannot believe this is happening,5
I feel so wanted,1
gue sangat terperangah,5
ini benar benar sangat mengejutkan aku,5
I feel lost without you,0
my spirit sings with joy,1
this left me stunned,5
I feel so astonished,5
I this anxiety keeps me from moving forward,4
you have no self-awareness,3
diriku sangat produktif,1
hatiku sangat terpancing marah,3
aku sangat tidak menyangka bisa lulus,5
I feel deeply satisfied,1
aku sangat lemah,0
diriku sangat excited,1
I cannot believe this is happening to me,1
aku sangat marah karena sudah berusaha keras namun tetap diremehkan,3
I am scared to face this,4
I failed everyone I love,0
I am having a panic attack,4
gue sangat tidak bisa berhenti tersenyum,1
hatiku sangat penuh,1
aku sangat merasa beruntung bisa mengenalmu,2
I feel overwhelmed by fear,4
gue sangat antusias,1
aku sangat tidak berani bermimpi karena takut tidak tercapai,4
hatiku sangat muak,3
I am frozen with fear,4
I am so lost,0
aku tidak bisa tersenyum,0
I am enjoying this vacation,1
I am so totally speechless,5
aku sangat susah memaafkanmu,3
I am deeply thrilled,1
I am grieving deeply,0
I feel so proud,1
aku sangat muak dengan semua ini,3
aku sangat ingin selalu ada untukmu,2
diriku sangat sendu,0
I am so proud,1
this defies all my expectations,5
this is so hard to believe,5
wow aku sangat tidak menyangka ini,5
without you I am so lonely,0
aku sangat tidak menduga bisa menjadi versi terbaik diriku,5
I love you forever,2
gue sangat bahagia,1
aku sangat takut bahwa semua pengorbananku tidak ada hasilnya,4
aku sangat membentak,3
I am so frustrated because nothing ever changes,3
gue sangat benci,3
cintaku padamu sangat besar,2
aku sangat merasa terancam,4
saya sangat kreatif,1
you hurt me so much,3
hatiku sangat merindukanmu setiap hari,2
aku sangat merayakan ini,1
aku sangat merasa tentram,1
I am so careful because I am so afraid,4
I feel so irritated,3
aku tidak pernah menduga ini,5
I am absolutely furious,3
gue sangat ingin melihatmu,2
saya sangat bersemangat hari ini,1
gue sangat tidak aman,4
I am deeply irritated,3
gue sangat tidak menduga bisa menjadi versi terbaik diriku,5
gue sangat kaget,5
I feel deeply raging inside,3
aku sangat menyayangimu tulus,2
aku sangat marah karena terus diabaikan,3
I am so confident,1
my spirit is overflowing with happiness,1
hatiku sangat ceria,1
saya sangat senang karena mendapat kesempatan ini,1
I am deeply sorrowful,0
aku sangat bersyukur bisa merasakan kebahagiaan ini,1
saya merasa tidak berguna,0
ini benar benar sangat mengagetkan aku,5
aku tidak bisa berhenti menangis,0
aku sangat takut tidak mampu,4
diriku sangat mengagumimu,2
aku akan selalu mencintaimu apa adanya,2
saya sangat tidak terima ini,3
diriku sangat merasa diberkahi,1
hatiku sangat memikirkanmu,2
subhanallah aku sangat tidak menduga,5
diriku sangat tidak menyangka,5
darahku mendidih marah,3
ini sudah keterlaluan,3
I feel glowing with joy,1
I never expected he could change,5
I feel deeply confident,1
I went silent from the shock,5
hatiku sangat kagum,5
saya sangat terkejut dengan berita ini,5
gue jantungnya berdebar kencang,4
I am so shocked,5
I am so absolutely devastated,0
aku sangat beruntung hari ini,1
I am tired of being sad,0
my heart weeps constantly,0
kamu adalah tempat aku pulang,2
I am so irritated,3
aku sangat terkejut dengan berita sedih ini,5
I care for you completely,2
saya sangat takjub,5
gue kehilangan harapan,0
I feel so dejected,0
aku sangat gelisah dan tidak bisa tidur,4
I cannot take it anymore,0
aku sangat bersyukur,1
gue sangat penuh kebahagiaan,1
aku sangat ingin menegur,3
I feel so in complete disbelief,5
diriku mencintaimu apa adanya,2
I was so shocked I could not speak,5
I feel so completely defeated,0
saya sangat kesepian,0
aku sangat gembira hari ini,1
saya sangat senang karena semua berjalan sesuai harapan,1
aku sangat kaget sekali,5
I feel so rejected,0
this surprise left me with my mouth open,5
aku sudah marah padamu,3
I am so happy,1
I am so scared of making mistakes,4
aku sangat memujamu,2
I am terrified all my sacrifices will yield nothing,4
I feel so on edge,4
aku sangat menikmati setiap detiknya,1
aku sangat khawatir segalanya akan semakin buruk,4
I am disgusted by your behavior,3
aku sangat takjub,5
I am so tired of being sad,0
diriku tidak pernah menyangka ini terjadi,5
gue sangat bersyukur doa doaku terjawab,1
gue sangat tidak menduga bisa merasakan momen istimewa ini,5
diriku sangat naik darah,3
kepergiannya meninggalkan luka mendalam,0
rasa takut ini sangat menghantuiku,4
di balik tawaku ada tangisan,0
my soul is at peace,1
aku sangat merasa hidup ini sangat layak disyukuri,1
I feel so enraged,3
hatiku sangat bersemangat,1
my love for you is deep,2
I feel loved because of you,2
aku tidak pernah menyangka ini terjadi,5
I am so bursting with happiness,1
I am so happy all plans went smoothly,1
aku sangat tidak bisa move on darimu,0
aku sangat tidak berani mencoba karena takut kecewa,4
I am deeply uneasy,4
I keep crying again,0
saya sangat panic attack,4
I am so overjoyed,1
you are so important to me,2
gue sangat berteriak kegirangan,1
kamu sangat menyakitiku,3
gue sangat menolak ini,3
aku sangat tidak terima ini,3
saya sangat ketakutan,4
aku merasa kosong,0
hatiku sangat gemetar karena takut,4
gue sangat tidak menduga hasilnya begini,5
I am completely faithful to you,2
pure joy fills me completely,1
I am so lucky,1
I am deeply scared,4
I am so scared of this situation,4
I am so uneasy,4
gue sangat tidak bahagia,0
gue sangat merasa sudah tidak berarti,0
saya kehilangan harapan,0
I have such a strong bad feeling,4
I am scared of losing everything,4
gue sangat marah karena sudah terlalu sabar namun tetap disalahkan,3
aku kelelahan batin,0
hatiku sangat frustrasi,3
aku sangat ceria,1
I always feel wrong and incapable,0
wow I am so shocked,5
aku sangat senang bertemu teman,1
I feel deeply absolutely thrilled,1
saya sudah sangat muak bersabar dengan orang yang tidak berubah,3
kamu sangat seenaknya sendiri,3
di balik senyumku ada kesedihan,0
kepergiannya sangat menghancurkanku,0
aku sangat ingin membahagiakanmu,2
I am so relieved,1
aku sangat takut untuk mencoba,4
I have lost control of my anger,3
I love you just the way you are,2
diriku sangat membenci perilaku itu,3
gue sangat suka kehadiranmu,2
saya sangat takut tidak mampu,4
I was so hurt by that loss,0
amarahku sudah meledak,3
aku sangat sayang kamu,2
I feel so insecure and afraid of being judged,4
aku selalu mendoakan kamu,2
saya sangat lemas karena takut,4
gue sangat sedih,0
hatiku sangat murka,3
aku sangat remuk,0
aku kejutan ini sangat mengubah hidupku,5
I love today,1
aku sangat terpana,5
this rage inside me is overwhelming,3
I cannot laugh even though I want to,0
I hold such deep resentment,3
saya sangat takut bahwa aku selalu akan gagal,4
saya tidak bisa menahan amarah,3
hatiku sangat merindukanmu,2
aku sangat merasa ringan dan bebas,1
saya merasa hampa,0
saya sangat bersyukur cintaku disambut olehmu,2
I am so joyful today,1
cintamu sangat berarti bagiku,2
hatiku sangat takut ditolak,4
saya sangat merasa tidak layak mendapatkan kebahagiaan,0
this is more than I ever dreamed of,1
aku kangen banget sama kamu,2
I am so scared of losing my job,4
aku tidak pernah sepuas ini,1
my spirit dances with happiness,1
aku sangat rindu,0
gue sangat tidak bisa berpikir jernih karena panik,4
I never expected this decision,5
diriku sangat cemas,4
I am so completely terrified,4
aku sangat tidak menyangka berhasil,5
this happiness is so real,1
aku sangat takut kecelakaan,4
I refuse to accept this kind of treatment anymore,3
kamu sangat membuatku kesal,3
I feel so forlorn,0
saya akan selalu mencintaimu,2
I am consumed by anxiety,4
hatiku sangat tidak bisa berhenti tersenyum,1
kamu sangat tidak peduli perasaanku,3
diriku sangat ceria,1
I feel burning with rage,3
I love you more than words can say,2
I feel so seething with anger,3
aku sangat tidak bisa berpikir jernih karena panik,4
I am absolutely stunned,5
I would sacrifice for you,2
I had no idea it would turn out this way,5
aku sedih banget,0
I am deeply traumatized by that person,4
diriku kehilangan segalanya,0
aku sangat menikmati waktu ini,1
I am absolutely startled,5
I feel deeply elated,1
aku sangat bangga dengan diri sendiri,1
aku sangat mencintai dirimu lebih dari hidupku sendiri,2
aku sangat terkejut dengan hasilnya,5
gue sangat was was,4
I adore you forever,2
aku sangat cinta pada ibuku,2
saya merasa sendiri,0
gue sangat merindukanmu,2
aku ingin kamu selalu bahagia,2
aku sangat kagum dengan kamu,2
I am so dejected,0
I cannot bear this anymore,0
aku sangat marah dengan ketidakadilan ini,3
I love spending time together,1
aku sangat merasa ada di tempat yang tepat,1
I love you truly,2
I enjoy every moment with you,2
I am proud of how far I have come,1
gue sangat terkejut melihatnya tiba tiba muncul,5
aku nangis banget,0
aku sangat takut menghadapi ini,4
I am deeply sorrowful,0
ini benar benar tidak pernah aku bayangkan sebelumnya,5
diriku sangat terancam,4
diriku sangat tidak bisa percaya,5
gue sangat takut bahwa semua pengorbananku tidak ada hasilnya,4
I feel so grateful,1
your love heals me,2
I am incredibly annoyed,3
I love you completely,2
diriku sangat berterima kasih,1
I am so angry I got underestimated,3
diriku sangat tercengang,5
saya selalu memikirkanmu,2
aku sangat tidak menyangka diterima disini,5
aku sangat merasa direndahkan,3
aku girang banget,1
I am truly astonished,5
I never anticipated growing this much,5
aku sangat dikuasai amarah,3
I feel so lucky,1
saya sangat sakit hati,3
aku sangat terkejut melihatnya tiba tiba muncul,5
hatiku sangat susah percaya,5
I feel so alive,1
hatiku hancur,0
aku sangat pilu,0
hatiku sangat terguncang,0
gue sangat merasa tidak ada yang peduli padaku,0
I cannot focus because of the fear,4
aku sangat takut tidak cukup baik,4
I feel so complete,1
aku tidak bisa bangkit,0
bersamamu aku merasa bahagia,2
aku sudah sangat capek menghadapi orang seperti ini,3
I never thought I would succeed,5
my heart dances with happiness,1
aku sangat bersyukur semua usahaku membuahkan hasil,1
aku bersedih karena kehilanganmu,0
I feel deeply haunted by fear,4
hatiku merasa tidak dicintai,0
I never anticipated those prayers would all be answered,5
saya sangat tidak menduga mimpi mimpi itu bisa jadi nyata,5
I am deeply downhearted,0
I feel so stunned,5
aku sangat tidak menyangka mendapat berita ini,5
I feel absolutely furious,3
I am in a state of pure bliss,1
you are my happiness,2
I treasure every moment with you,2
I appreciate you so much,2
aku sangat trauma dengan ini,4
I feel completely shocked,5
aku sangat marah dengan keadaan ini,3
I feel so desolate,0
hatiku sangat merasakan firasat buruk,4
saya sangat tidak bisa tenang karena terus menerus cemas,4
aku sangat takut mengecewakan orang tuaku,4
I am not brave enough,4
this anxiety paralyzes me,4
my spirit mourns endlessly,0
I feel so spoiled by life,1
gue sangat marah karena sudah berusaha keras namun tetap diremehkan,3
I miss those times so much,0
diriku sangat tertawa bahagia,1
aku sangat dendam,3
I feel so empty,0
I am so deeply frustrated,3
I am so grateful,1
I love doing this,1
I refuse to trust someone who already betrayed me,3
I am grateful for my health,1
aku sangat merasa dimanjakan oleh kehidupan,1
gue sangat merasa sendiri menghadapi cobaan ini,0
hatiku sangat tidak menyangka,5
gue sangat tidak bisa merasakan kegembiraan,0
aku sangat cemas dengan kesehatan,4
gue sangat tidak berani berharap karena takut sakit hati,4
I feel so melancholic,0
hatiku sangat terluka,0
I refuse to be treated like this anymore,3
aku sangat frustrasi banget,3
saya sangat terpuruk,0
I feel deeply energized,1
I am so shocked by this performance,5
aku sangat takut menghadapi dia,4
badanku sangat segar,1
saya sangat ingin menegur,3
hatiku sangat menantikan kehadiranmu,2
I am so utterly amazed,5
I feel deeply full of rage,3
aku menerima kamu seutuhnya,2
aku sangat merasa beruntung bisa jatuh cinta padamu,2
aku merasa sangat hampa,0
I feel so delighted,1
I feel deeply miserable,0
I am so grateful to have you,2
I feel deeply lucky,1
aku sangat gugup tampil di depan umum,4
saya sangat yakin kamu adalah orang yang tepat untukku,2
diriku sangat mencintai hidup ini,1
aku sangat muak dengan kamu,3
saya sangat bersyukur semua usahaku membuahkan hasil,1
I feel deeply on edge,4
ini luar biasa mengejutkan,5
gue sangat tidak kuasa menahan tangis,0
I adore you wholeheartedly,2
aku mencintaimu,2
saya sangat lelah batin,0
I am horrified,4
I was so shocked I could not react,5
aku sangat tidak terima penghinaan ini,3
I am deeply raging inside,3
my legs feel weak with fear,4
this surprise left me completely speechless,5
aku sangat yakin kita ditakdirkan bersama,2
gue sangat tertegun,5
I am deeply frustrated,3
aku sangat hancur hati,0
diriku sangat lelah batin,0
aku sangat merasa ada keajaiban,1
aku sangat ragu dengan keputusan ini,4
aku sangat sering mimpi buruk,4
saya sangat tidak bisa fokus karena ketakutan,4
aku sangat gugup menghadapi presentasi ini,4
saya sangat benci,3
diriku sangat tidak menduga bisa berhasil,5
I am deeply gloomy,0
I am so elated,1
I miss you so deeply,0
I feel deeply panicked,4
saya sangat was was,4
aku sangat tidak berani membuka hati karena takut terluka,4
saya sudah sangat muak menelan semua sakit hati sendirian,3
hatiku sangat lemah,0
I feel so optimistic,1
aku kejutan ini sangat tidak terduga namun sangat bermakna,5
aku sangat cemas tidak bisa tidur,4
gue sangat dongkol,3
I cannot bear to carry this sorrow,0
saya tidak pernah membayangkan ini,5
gue sangat merasa seperti beban bagi semua orang,0
diriku sangat kecewa dengan kelakuanmu,3
hatiku tidak bisa percaya ini,5
aku sangat kagum,5
aku menangis terisak,0
I cannot get back up,0
I am deeply devastated,0
aku sangat tidak menyangka banget,5
I will always love you as you are,2
saya sangat tidak bisa percaya,5
gue sangat bersyukur semua usahaku membuahkan hasil,1
aku sangat tidak bisa fokus karena ketakutan,4
aku sangat terancam,4
I feel complete with you,2
I want to prove how much I care for you,2
I am certain you are my destiny,2
hatiku sangat sedih,0
aku sangat jiwa perih,0
I am overwhelmed by grief,0
I adore you completely,2
diriku merasa sangat dipermainkan,3
aku sangat was was,4
gue sangat merasa dimanjakan oleh kehidupan,1
I never dreamed this would happen,5
I feel so fearful,4
I am chilled with fear,4
aku sangat khawatir dengan situasi ini,4
gue sangat terkejut sampai jantung berdebar,5
saya sangat cemas memikirkan semua kemungkinan buruk,4
I feel so grateful,1
I feel so creative today,1
I feel so hollow,0
I cannot wait to share this happiness,1
kejutan ini sangat membuat aku tidak percaya,5
gue sudah tidak tahan lagi,3
hatiku sangat menikmati waktu bersamamu,2
gue sangat cemas dengan kesehatan,4
kamu adalah segalanya bagiku,2
aku sangat menentang ini,3
aku sangat merasa tidak ada yang peduli padaku,0
saya sangat mencintai hidup ini,1
I feel so completely shocked,5
gue sangat takut salah,4
saya sangat membutuhkanmu,2
I feel so cheerful,1
gue sangat terkejut sampai tidak bisa bergerak,5
aku sangat ingin berhenti merasa sakit,0
gue sangat terkejut melihat betapa indah hidupnya ternyata,5
gue sangat dendam,3
diriku sangat kagum,5
aku sangat cemas karena tidak tahu apa yang akan terjadi,4
diriku sangat memikirkanmu,2
aku sangat galau,0
hatiku sangat sendu,0
aku sangat senang karena bisa membahagiakan orang lain,1
gue sangat lelah batin,0
I love being with family,1
aku sangat merindukan kenangan itu,0
ini benar benar melebihi semua ekspektasiku,5
I am startled but so happy,5
wow I never saw this coming,5
I fell in love with you,2
aku sangat membenci perilaku itu,3
saya sangat senang bersamamu,2
kamu adalah alasan aku bahagia,2
diriku sangat kesepian,0
I care for you with all my heart,2
saya sangat tidak menduga hidup bisa membawa kejutan seperti ini,5
cintaku padamu sangat ikhlas,2
aku sangat tidak terima pendapatku selalu diabaikan,3
I am so scared of disappointing everyone,4
I am so grateful to feel your love,2
aku cinta banget sama kamu,2
saya sangat susah percaya,5
aku sangat merindukan pelukanmu,2
hatiku sangat terancam,4
I feel so hopeless,0
loving you is the best thing I ever did,2
you make me so sick,3
aku menangis diam diam,0
I am deeply sad,0
hatiku perih,0
I feel deeply incredibly annoyed,3
saya tidak bisa berkata kata karena kaget,5
aku sangat tertawa bahagia,1
I want to scream I am so angry,3
I feel so consumed by anger,3
hatiku sangat merasa dihargai,1
I feel so worried,4
aku sangat gugup,4
saya sangat takut mengecewakan,4
I am deeply forlorn,0
aku tidak bisa bahagia,0
gue sangat tidak bisa menemukan kebahagiaan,0
I feel comfortable with you,2
I feel so frightened,4
aku merasa tidak ada yang sayang,0
aku sangat sakit hati karena kamu,3
I am so boiling with anger,3
aku sangat penuh energi,1
I am so frustrated because I am helpless,3
I am so shocked you appeared suddenly,5
I am scared of rejection,4
I feel so miserable,0
saya sangat yakin kamu adalah takdirku,2
saya sangat termotivasi,1
my heart mourns endlessly,0
I am so livid,3
saya merasa sangat hidup,1
aku sangat menantikan kehadiranmu,2
hatiku sangat penuh kebahagiaan,1
I am so annoyed by the way he treats me,3
aku sangat kecewa dengan diri sendiri,0
I am so angry for working so hard but still being belittled,3
diriku sangat takut sendirian,4
gue sangat tidak sanggup menahan air mata,0
I am so lonely,0
I feel deeply thrilled,1
diriku sangat merinding,4
I never anticipated life could be this beautiful,5
this exceeded all my expectations,5
ini sangat diluar dugaanku,5
aku sangat menghargai semua yang kamu berikan,2
I do not dare to open my heart for fear of being hurt,4
aku sangat marah karena tidak bisa berbuat apa apa,3
I feel deeply relieved,1
kamu sangat egois,3
gue sangat takut masa depan,4
I am going berserk,3
I appreciate your sacrifices,2
I am deeply lost,0
I lost all my patience,3
diriku sangat terguncang,0
your leaving shattered me,0
kejutan ini sangat membuat aku terpana,5
gue sangat gugup,4
diriku sangat menikmati setiap detik,1
aku sangat memikirkanmu,2
I am wrapped in so much fear,4
I am disgusted with you,3
I love this food so much,1
diriku sangat takut kehilangan semua,4
hatiku sangat murung,0
air mataku tidak bisa berhenti mengalir,0
I am deeply joyful,1
life is beautiful,1
aku sangat tidak percaya betapa bahagianya aku,1
I am deeply utterly amazed,5
I feel so taken aback,5
I am scared to try,4
I pretend to be fine but I am shattered,0
I am so grateful for your love,2
I feel consumed by anxiety,4
diriku sangat tidak adil,3
aku sangat tidak menduga hasilnya begini,5
I have lost the will to live,0
saya sangat tidak mau menerima kehilangan ini,0
aku sangat bersyukur bisa merasakan cintamu,2
I feel like I am exactly where I should be,1
saya sangat tertawa lepas bahagia,1
I am so worried,4
I am so grateful you chose me,2
gue sangat senang karena bisa membahagiakan orang lain,1
gue tidak kuat lagi,0
it is very hard to forgive you,3
aku sangat takut tidak bisa memenuhi ekspektasi,4
diriku sangat girang,1
I feel so aggravated,3
aku menang,1
aku merasa sangat muram,0
saya tidak bersemangat,0
gue sangat marah karena kebaikanku diinjak injak,3
saya sangat takut sendirian,4
gue sangat dihantui ketakutan,4
I am loving this morning,1
diriku sangat menghargai momen ini,1
gue sangat yakin kamu adalah takdirku,2
I am so desolate,0
I received a blessing,1
hatiku sangat jijik dengan kelakuanmu,3
I am drowning in sadness,0
you are my reason for happiness,2
I miss your laugh so much,2
saya sangat terkejut melihat betapa indah hidupnya ternyata,5
I am screaming in anger,3
I am deeply traumatized by this,4
diriku sangat murka,3
aku sangat kecewa dengan kamu,3
gue sangat tidak terima ini,3
diriku sangat membutuhkanmu,2
aku sangat terkejut dengan kejadian ini,5
saya sangat menyesal,0
I feel so apprehensive,4
amarahku sudah memuncak,3
gue sangat merasa beruntung bisa bersama kamu,2
I feel no purpose,0
I am laughing with joy,1
I am so stunned,5
my soul sings with joy,1
saya sangat merasa diberkati luar biasa,1
I am so outraged,3
gue sangat muak,3
aku sangat tidak menyangka bisa sampai sejauh ini,5
hatiku sangat merasa dicintai,1
I never imagined this even once,5
aku sangat takut sakit,4
gue sangat takut ditolak,4
gue sangat menentang ini,3
I am so scared I am not good enough,4
hatiku merasa sangat hidup,1
gue ketakutan ini sangat terasa menghimpit,4
saya sangat layu,0
I feel so enraged,3
I am deeply melancholic,0
saya sangat takut bahwa aku tidak akan pernah berhasil,4
I am so thankful you are in my life,2
I am so gloomy,0
aku sangat benci banget,3
I love this adventure,1
hatiku sangat terkejut sampai jantung berdebar,5
I feel treated so unfairly,3
I miss you so much,0
aku sangat menyesal,0
diriku sangat beruntung mengenalmu,2
I am scared of being condemned,4
diriku sangat ragu dan cemas,4
I am so grateful today,1
I am deeply nervous,4
I am deeply sorrowful today,0
I feel deeply afraid,4
aku sangat kangen padamu,2
gue ketakutan ini sangat nyata dan sangat dalam,4
aku sangat takut bencana,4
diriku sangat dendam,3
my spirit is crushed,0
aku merasa hidup sangat berat,0
I was so startled I screamed,5
I am afraid of the dark,4
aku ingin membentak,3
my soul is so full,1
aku sangat merindukan suara tawamu,2
gue tidak pernah menduga ini bisa terjadi,5
cintaku abadi untukmu,2
I am so panicked because I cannot control anything,4
I feel deeply livid,3
I feel so hopeless,0
I feel beyond angry,3
I feel deeply consumed by anxiety,4
I feel so totally speechless,5
I feel deeply deeply grateful,1
I am uncertain and very anxious,4
diriku masih sangat terkejut,5
saya sangat merinding,4
I am so doubtful and afraid of making the wrong step,4
aku sangat mencintai dirimu sepenuh hati,2
hatiku sangat diluar dugaan,5
saya sangat merasa dimanjakan oleh kehidupan,1
saya sangat murka,3
aku sangat cinta kamu,2
aku sangat melonjak kegirangan,1
I feel so blown away,5
saya sangat heran,5
I am so scared of losing my family,4
saya sudah tidak mau sabar lagi,3
saya sangat merasa diberkahi,1
kamu membuat hidupku sangat bermakna,2
gue sangat susah percaya,5
bersamamu aku merasa aman,2
aku sangat menikmati setiap detik,1
I feel deeply radiant with happiness,1
I feel so sad,0
aku sangat trauma dengan kejadian itu,4
I never thought I would get this news,5
I feel like happiness left me forever,0
saya sangat yakin kita ditakdirkan bersama,2
ini kejutan yang sangat luar biasa,5
kebahagiaan ini sangat nyata,1
saya sangat merasa tidak ada yang mengerti perasaanku,0
gue sangat percaya diri,1
aku masih dalam keadaan kaget,5
I feel so scared,4
jiwaku sangat bergejolak marah,3
nobody cares about me,0
I feel completely overjoyed,1
this is everything I hoped for,1
I am so happy for this opportunity,1
I love my family deeply,2
