text,label,language
ini sangat mengagetkan,5,id
I feel so light,1,en
aku sangat gugup banget,4,id
saya sangat merasa keberadaanku tidak diperlukan,0,id
gue sangat trauma,4,id
aku sangat rindu,0,id
saya sangat merindukanmu setiap hari,2,id
gue sangat marah karena dihina,3,id
aku sangat membenci cara itu,3,id
aku sangat murka,3,id
hatiku mencintaimu,2,id
I was shocked to see it,5,en
I am so inspired,1,en
I feel so grateful,1,en
aku sangat mencintai hidup ini,1,id
I am so angry my trust was betrayed,3,en
saya sangat mencintai dirimu melebihi apapun,2,id
I am so heartbroken,0,en
I have nobody,0,en
I am so lucky today,1,en
aku sangat takut sekali,4,id
gue jantungnya berdebar kencang,4,id
my soul is shattered,0,en
maaf ya,0,id
saya sangat kaget mendengar kabar ini,5,id
this exceeds all my hopes,1,en
aku sangat takut dengan ujian ini,4,id
diriku menangis terus,0,id
maaf sudah buat semuanya jadi susah,0,id
I refuse to be treated like this anymore,3,en
I am scared of being alone,4,en
aku sangat kaget sampai terlonjak,5,id
kamu melukai hatiku,0,id
aku sangat menyesal mengkhianatimu,0,id
hatiku merasa nyaman bersamamu,2,id
I am deeply burning with rage,3,en
hatiku sangat senang,1,id
saya sangat tidak berani melangkah karena takut gagal,4,id
aku tidak ada yang mengerti aku,0,id
I am deeply sad,0,en
hatiku sangat marah,3,id
you are awesome,1,en
aku tidak mau lagi menelan sakit hati ini,3,id
aku sangat tidak bisa fokus karena ketakutan,4,id
aku sangat cemas tidak bisa tidur,4,id
I feel deeply angry,3,en
kalau saja aku tidak menyakitimu,0,id
aku sangat marah karena diremehkan,3,id
you are the best thing that happened to me,2,en
aku sangat tidak terima kontribusiku tidak pernah diapresiasi,3,id
saya sangat terpancing marah,3,id
I am so scared of speaking in public,4,en
kamu hebat banget,1,id
I miss those memories so much,0,en
gue sangat takut salah,4,id
you make my life so meaningful,2,en
diriku sangat sendu,0,id
gue sangat puas,1,id
tolong maafkan aku,0,id
I want to prove how much I love you,2,en
gue sangat gembira,1,id
diriku sangat capek dengan semua ini,3,id
gue kejutan ini sangat mengubah hidupku,5,id
I am wounded and so angry,3,en
ketakutan ini sangat membelengguku,4,id
saya sangat tidak menduga perjalanan hidup bisa seindah ini,5,id
I feel so worried,4,en
hatiku sangat terkejut,5,id
they ignored me,0,en
aku sangat marah karena mengizinkan ini terjadi,3,id
aku sangat bahagia dengan pilihan hidupku,1,id
I feel so excited,1,en
I feel so depressed,0,en
I am so glad to have you,1,en
aku sangat beruntung hari ini,1,id
I am deeply enraged,3,en
aku sangat takut disakiti lagi,4,id
aku sangat senang bisa berbagi ini,1,id
aku sangat marah karena selalu salah,3,id
I deeply love my mother,2,en
kamu murah hati banget,1,id
I feel so weak right now,0,en
hatiku merasa sangat dimanfaatkan,3,id
gue sangat jijik dengan kelakuanmu,3,id
I am so resentful,3,en
aku sangat menghargaimu,2,id
kamu jahat,0,id
saya sangat bersyukur semua usahaku membuahkan hasil,1,id
aku sangat cemas dengan kesehatanku,4,id
my soul mourns endlessly,0,en
you are so awesome,1,en
hatiku sangat melebihi ekspektasi,5,id
saya sangat tidak bisa merasakan kegembiraan,0,id
hatiku sangat speechless,5,id
aku sangat suka momen kebersamaan ini,1,id
gue sangat tidak bisa menerima kepergiannya,0,id
saya kejutan ini sangat mengubah cara pandangku,5,id
aku sangat berduka atas kehilangannya,0,id
I want to always keep you safe,2,en
kamu sangat pengertian,1,id
aku merasa tidak diinginkan,0,id
I am so grateful for this gift,1,en
hatiku tidak bisa bahagia lagi,0,id
you are my whole world,2,en
kamu adalah prioritasku,2,id
how could you do this to me,0,en
aku sangat mengagumi kebaikanmu,2,id
kamu baik ya,1,id
I feel so full of joy,1,en
aku dapat rezeki,1,id
hatiku patah hati,0,id
hatiku hancur lebur,0,id
hatiku riang,1,id
I feel so lucky,1,en
I see no way forward,0,en
gue sangat ingin membuktikan betapa aku cinta kamu,2,id
I feel deeply deeply frustrated,3,en
I care for you endlessly,2,en
he betrayed me,0,en
aku sangat duka,0,id
I am deeply devastated,0,en
diriku sangat merasa dicintai,1,id
I am horrified,4,en
saya sangat muak,3,id
hatiku sangat muak,3,id
I miss your hugs,2,en
aku sangat takut sejarah itu terulang,4,id
saya sangat susah percaya,5,id
saya sangat merasa selalu salah dan tidak becus,0,id
I feel so taken aback,5,en
aku sangat menyesal membuatmu terluka,0,id
I feel so in total shock,5,en
I refuse to accept this kind of treatment anymore,3,en
I am so grateful to have you,2,en
aku kecemasan ini sangat membuatku tidak berdaya,4,id
teganya dia,0,id
aku sangat tidak bisa melupakan dia,0,id
aku sangat senang karena semua berjalan sesuai harapan,1,id
fear controls my every thought,4,en
aku sangat tidak menduga hasilnya begini,5,id
I feel so content,1,en
diriku sangat terluka,0,id
I am scared to move forward,4,en
aku berpura pura baik tapi sebetulnya hancur,0,id
aku sangat antusias dengan ini,1,id
aku sangat merasa dijawab doanya,1,id
hatiku sangat melongo,5,id
I am so happy all plans went smoothly,1,en
I never anticipated those dreams could become reality,5,en
aku tidak bisa bahagia lagi,0,id
aku sangat tidak menduga perjalanan hidup bisa seindah ini,5,id
saya sangat gembira,1,id
my soul is so grateful,1,en
you disappointed me again,0,en
kamu membuat hidupku lebih bermakna,2,id
I feel so stunned,5,en
I love my life,1,en
saya sangat tidak mau lagi mengorbankan diri untuk orang seperti ini,3,id
my smile reaches my eyes,1,en
I feel so inspired,1,en
your support means so much,1,en
my heart is torn,0,en
diriku sangat kaget,5,id
I am so nervous about the presentation,4,en
my love for you is eternal,2,en
aku merasa sangat percaya diri,1,id
diriku sangat murka,3,id
with you I feel happy,2,en
diriku merasa gagal,0,id
I am so cheerful,1,en
I love this tranquility,1,en
aku sangat merasa diterima,1,id
aku masih sangat terkejut,5,id
I am scared to speak up,4,en
my spirit sings with joy,1,en
diriku kehilangan segalanya,0,id
my days feel so grey,0,en
aku bersemangat banget,1,id
I cannot take it anymore,0,en
hatiku masih dalam keadaan kaget,5,id
aku menangis diam diam,0,id
I feel deeply beyond surprised,5,en
hatiku tidak kuat lagi,0,id
gue sangat penuh kebahagiaan,1,id
saya sangat yakin cinta kita akan bertahan selamanya,2,id
aku sangat bersyukur semua usahaku membuahkan hasil,1,id
I am so gloomy,0,en
aku mencintaimu,2,id
aku menangis tak terbendung,0,id
saya kecemasan ini sangat membuatku tidak berdaya,4,id
aku sangat tidak menyangka bisa mencapai ini,5,id
I will always be here for you,2,en
this exceeded all my expectations,5,en
I am deeply nervous,4,en
I am deeply in total shock,5,en
gue sangat bahagia,1,id
I never anticipated rising from all those trials,5,en
waktu bersamamu sangat berharga,2,id
aku merasa hidup tidak adil,0,id
my anger has exploded,3,en
diriku sangat senang,1,id
aku merasa sangat lelah jiwa,0,id
kamu sangat hebat,1,id
gue tidak kuat lagi,0,id
aku sangat merasakan perasaan tidak enak,4,id
saya sangat beruntung,1,id
saya sangat muak dengan semua ini,3,id
diriku sangat takut,4,id
my life feels purposeless,0,en
gue sangat menghargai momen ini,1,id
aku sangat panik,4,id
diriku emosinya sudah meledak,3,id
I feel so totally speechless,5,en
I am deeply overwhelmingly surprised,5,en
kamu selalu mengabaikan aku,0,id
I feel deeply sorrowful,0,en
saya sangat layu,0,id
sorry I was not enough,0,en
I am overflowing with happiness,1,en
I feel so deeply afraid,4,en
I feel so utterly worthless,0,en
you have such a warm heart,1,en
diriku sangat menyesal,0,id
aku sangat terkejut dengan perubahan mendadak ini,5,id
gue sangat membenci sikap itu,3,id
aku sangat berduka atas kepergiannya,0,id
seharusnya aku lebih dewasa,0,id
I am so overwhelmed by rage,3,en
I feel so deeply anxious,4,en
aku sangat tidak terima ini,3,id
hatiku sangat duka,0,id
I know I was wrong,0,en
aku sangat tidak mau menerima ini,3,id
I feel deeply nervous,4,en
my spirit is torn apart,0,en
I feel so calm,1,en
surprise overtook me completely,5,en
I feel deeply heartbroken,0,en
you are so caring,1,en
saya sangat naik darah,3,id
I appreciate you so much,2,en
I hate that attitude,3,en
aku sangat takut mengecewakan temanku,4,id
aku tidak menyangka kamu bisa seperti ini,0,id
I was so startled I jumped,5,en
aku sangat tidak terima diperlakukan semena mena seperti ini,3,id
aku sangat takut luka lama itu terbuka lagi,4,id
I feel like I am exactly where I should be,1,en
aku menyesal sekali,0,id
saya sangat gugup berbicara,4,id
I will not stay silent when I am being hurt,3,en
saya sudah tidak bisa memaafkan,3,id
you disregarded my feelings,0,en
aku menerimamu seutuhnya,2,id
saya sangat bersyukur doa doaku terjawab,1,id
aku sangat excited,1,id
I am anxious thinking about all the bad possibilities,4,en
my tears never dry,0,en
you are so nice,1,en
I am deeply absolutely thrilled,1,en
aku sangat terkejut sampai tidak bisa bicara,5,id
I never anticipated fate could be this beautiful,5,en
I am so angry at the person who betrayed me,3,en
saya sangat bangga,1,id
I am so shocked by this change,5,en
I feel deeply absolutely devastated,0,en
saya sangat merasa dimanjakan oleh kehidupan,1,id
saya sangat tidak sanggup menanggung kesedihan ini,0,id
I am so energized,1,en
aku sangat merasa dimanfaatkan,3,id
diriku sangat ragu dan cemas,4,id
saya sangat tidak menduga bisa mendapat kesempatan ini,5,id
aku sangat senang mendengar kabar baik ini,1,id
I cannot accept my contributions never being appreciated,3,en
aku sangat marah karena selalu disalahkan,3,id
without you my life feels empty,0,en
diriku sangat terkejut sampai tidak bisa bergerak,5,id
kamu jujur banget,1,id
I am so irritated,3,en
gue sangat marah karena kebaikanku diinjak injak,3,id
since you came my life is more beautiful,2,en
aku sangat terluka dan sangat marah,3,id
I am absolutely furious,3,en
I am heartbroken,0,en
I feel deeply mourning,0,en
I cry in my heart,0,en
I am deeply afraid,4,en
diriku sangat was was,4,id
I am so worried about my health,4,en
aku berduka,0,id
I cannot laugh even though I want to,0,en
aku sangat protes,3,id
diriku sangat tertegun,5,id
kamu adalah jawaban dari semua doaku,2,id
aku sangat marah karena terus diabaikan,3,id
hatiku sangat marah karena dikhianati,3,id
saya sangat tertawa bahagia,1,id
I feel so frightened,4,en
hatiku sangat bahagia,1,id
hatiku sangat percaya diri,1,id
hatiku sudah habis sabar,3,id
hatiku sangat membenci perilaku itu,3,id
gue sangat berduka,0,id
I love you more than anything,2,en
aku sangat berterima kasih,1,id
saya sangat tercengang,5,id
aku merasa tidak dicintai,0,id
saya sangat terkejut melihat betapa indah hidupnya ternyata,5,id
aku sangat luka batin,0,id
saya sangat tidak berani berharap karena takut sakit hati,4,id
I feel deeply inspired,1,en
diriku sangat beruntung mengenalmu,2,id
aku sangat takut memulai langkah ini,4,id
I feel absolutely thrilled,1,en
aku sangat terasa hilang,0,id
I succeeded,1,en
I feel so infuriated,3,en
I only want you,2,en
saya sangat takut tidak mampu,4,id
aku sudah tidak kuat,0,id
aku menangis,0,id
aku sudah sangat muak mendengarnya,3,id
you are so intelligent,1,en
aku sangat marah karena ditipu,3,id
I am so proud,1,en
aku sangat geram,3,id
gue sangat merasa sendiri menghadapi cobaan ini,0,id
nobody sees my pain,0,en
I am deeply in complete disbelief,5,en
hatiku sangat kurang percaya diri,4,id
I am deeply dumbfounded,5,en
aku sangat menyesal atas semua kesalahanku,0,id
aku sangat takut mengecewakan orang lain,4,id
I feel deeply full of rage,3,en
senang banget kenal kamu,1,id
diriku sangat terguncang,0,id
I am so satisfied,1,en
aku sangat terkejut dengan hasilnya,5,id
aku sangat rapuh,0,id
hatiku sangat senang bersamamu,2,id
I am so thrilled,1,en
diriku sangat kreatif,1,id
diriku merasa kosong,0,id
I am so scared I am not good enough for this,4,en
gue sangat terancam,4,id
I cannot escape this sadness,0,en
I feel so furious,3,en
I am deeply despondent,0,en
aku sangat tidak menyangka kenyataannya seperti ini,5,id
I am proud to have you,2,en
aku sangat senang bisa merayakan ini,1,id
I am absolutely startled,5,en
I regret saying those words,0,en
I am so scared,4,en
aku tidak percaya ini terjadi,5,id
you are really sweet,1,en
I regret betraying you,0,en
I feel deeply melancholic,0,en
terima kasih sudah ada untukku,1,id
I am certain we were meant to be together,2,en
I feel so gripped by terror,4,en
I am scared to change,4,en
aku sangat kesal dengan kelakuannya yang egois,3,id
I am certain my choice in life is you,2,en
I am so uneasy,4,en
gue sangat gugup tampil,4,id
I am sorry I left you,0,en
I feel deeply afraid,4,en
diriku sangat sayang padamu,2,id
I was so hurt by that attitude,0,en
I am so shocked hearing this,5,en
I never anticipated this,5,en
hatiku sangat geram,3,id
I miss your eyes,2,en
I feel devastated,0,en
I am shocked by this sad news,5,en
hatiku sangat cemas dengan keselamatan,4,id
gue sudah sangat muak bersabar dengan orang yang tidak berubah,3,id
hatiku sangat takut kehilangan semua,4,id
maaf aku bikin kamu sedih,0,id
gue selalu mendoakanmu,2,id
aku sangat tidak menduga bisa merasakan momen istimewa ini,5,id
this is an extraordinary surprise,5,en
I am so anxious life will not get better,4,en
aku sangat takut untuk berubah,4,id
aku tidak kuat lagi,0,id
hatiku sangat kecewa dengan kelakuanmu,3,id
I am so satisfied,1,en
I feel so fragile,0,en
kamu pergi dan meninggalkan luka,0,id
I still cannot accept this reality,5,en
my soul weeps constantly,0,en
cintaku padamu sangat tulus,2,id
kamu suka aku,1,id
aku bersedih lagi,0,id
aku sangat marah dengan situasi ini,3,id
they hurt me deeply,0,en
I feel so overwhelmingly surprised,5,en
gue tidak bisa hidup tanpamu,2,id
aku sangat takut merasa sakit lagi seperti dulu,4,id
aku akan selalu mencintaimu,2,id
hatiku penuh cinta untukmu,2,id
I am so shocked by this generosity,5,en
I need you and you are gone,0,en
I feel so alive right now,1,en
gue sangat emosi,3,id
my love for you is sincere,2,en
diriku mencintaimu,2,id
you are absolutely outrageous,3,en
I love this trip,1,en
I am deeply frustrated,3,en
aku cinta banget sama kamu,2,id
diriku sangat membeku karena takut,4,id
aku sangat takut menghadapi tantangan ini,4,id
gue sangat tercengang,5,id
I feel like all my struggles were worth it,1,en
aku sangat tidak sanggup menanggung kesedihan ini,0,id
gue sudah tidak mau sabar lagi,3,id
I feel so consumed by anxiety,4,en
aku sangat yakin kamu adalah orang yang tepat untukku,2,id
diriku sangat hancur,0,id
I love you completely,2,en
saya sangat menyesal,0,id
aku sangat tidak percaya betapa bahagianya hari ini,1,id
saya merasa sangat dipermainkan,3,id
aku sangat panic attack,4,id
saya sangat menikmati waktu bersamamu,2,id
aku sangat tidak bisa merasakan kegembiraan,0,id
aku sangat gembira menerima berita ini,1,id
I feel so amazed,5,en
I have given up,0,en
my heart is full of love for you,2,en
diriku sangat sakit hati,0,id
aku sangat kesal banget,3,id
diriku sangat kurang percaya diri,4,id
kamu jahat sih,0,id
I am sick of you,3,en
saya sangat marah karena cintaku dimanfaatkan,3,id
maaf aku khilaf,0,id
I am deeply excited,1,en
I do not dare to open my heart for fear of being hurt,4,en
aku sangat terkejut,5,id
this uncertainty terrifies me deeply,4,en
saya sangat kurang percaya diri,4,id
diriku sangat nervous,4,id
I refuse to be treated this way,3,en
aku sangat merasa dilecehkan,3,id
diriku sangat muak dengan semua ini,3,id
I feel deeply startled,5,en
I am so happy right now,1,en
I am so startled,5,en
kamu sangat menjengkelkan,3,id
saya sangat tidak menduga hasilnya begini,5,id
loving you is the best thing I ever did,2,en
I am so panicked because I cannot control anything,4,en
aku sangat jijik dengan kelakuanmu,3,id
I feel like this life is so worth being grateful for,1,en
gue sangat tidak mau lagi mempercayai orang yang sudah mengkhianatiku,3,id
aku sangat tidak terima penghinaan ini,3,id
kamu sangat ramah,1,id
I cannot go on,0,en
aku selalu rindu,0,id
gue kecemasan ini sangat membuatku tidak berdaya,4,id
aku sangat yakin kamu adalah takdirku,2,id
aku sangat tidak berani,4,id
I am so terrified,4,en
aku sangat takut sakit,4,id
I am so downhearted,0,en
gue menerimamu seutuhnya,2,id
I am anxious because I cannot control the situation,4,en
jiwaku hanya untukmu,2,id
I am so thankful to have you,2,en
I am shocked to see how far I have come,5,en
gue sangat tidak adil,3,id
I am so scared of disappointing others,4,en
I adore you endlessly,2,en
aku sangat antusias,1,id
I feel deeply deeply anxious,4,en
I treasure you,2,en
I am suffering,0,en
ini benar benar melebihi semua ekspektasiku,5,id
saya sangat terperangah,5,id
diriku sangat marah karena diremehkan,3,id
I care for you wholeheartedly,2,en
saya sangat yakin kamu adalah takdirku,2,id
saya sangat cemas karena masa depan terasa sangat tidak pasti,4,id
diriku sangat menikmati setiap detik,1,id
today is so wonderful,1,en
I feel deeply blessed,1,en
aku sangat melongo,5,id
saya sangat sakit hati,0,id
hatiku sangat bersemangat,1,id
terima kasih sudah menyayangiku,1,id
life feels so wonderful,1,en
aku tidak mau bangkit,0,id
I am so amazed,5,en
aku merasa gagal,0,id
saya tidak semangat sama sekali,0,id
saya sangat merindukanmu,2,id
I failed everyone I love,0,en
I am suffocating with grief,0,en
I cannot believe you were capable of this,0,en
aku sangat depresi mendalam,0,id
I feel so free,1,en
maaf kamu jadi kecewa,0,id
aku ketakutan ini sangat terasa menghimpit,4,id
I do not know how to react I am so shocked,5,en
I cannot believe this is happening to me,1,en
I am seething inside,3,en
saya sangat terkejut melihat betapa baik hatinya ternyata,5,id
I was so shocked I could not react,5,en
kejutan ini sangat membuat aku terpana,5,id
ini sangat tidak bisa dibenarkan,3,id
I miss your voice so much,2,en
hatiku sangat merasa dicintai,1,id
I am so melancholic,0,en
terima kasih sudah mencintaiku,1,id
hatiku sangat mencintaimu sepenuh hati,2,id
gue sangat ingin memelukmu,2,id
I am so desolate,0,en
